book_id,sku,title,title_norm,price,original_price,discount,discount_rate,quantity_sold,rating_average,review_count,source_keys,source_keys_norm,source_key_count,source_modes,fetched_at_first,fetched_at_last,tiki_url,url_path,match_text_norm,popularity_score
278761451,4434784627070,- Luật Nhà Ở Năm 2023 - The 2023 Housing Law - Song Ngữ Việt-Anh,luat nha o nam 2023 the 2023 housing law song ngu viet anh,195600,215000,19400,9,,0.0,0,economic law,economic law,1,search,2026-05-27T08:50:24Z,2026-05-27T08:50:24Z,https://tiki.vn/sach-luat-nha-o-nam-2023-the-2023-housing-law-song-ngu-viet-anh-p278761451.html?spid=278761452,sach-luat-nha-o-nam-2023-the-2023-housing-law-song-ngu-viet-anh-p278761451.html?spid=278761452,luat nha o nam 2023 the 2023 housing law song ngu viet anh economic law,0.0
275407525,6460519699511,Mô hình One Piece : Mô hình Law,mo hinh one piece mo hinh law,185000,185000,0,0,,0.0,0,economic law,economic law,1,search,2026-05-27T08:50:26Z,2026-05-27T08:50:26Z,https://tiki.vn/mo-hinh-one-piece-mo-hinh-law-p275407525.html?spid=275407526,mo-hinh-one-piece-mo-hinh-law-p275407525.html?spid=275407526,mo hinh one piece mo hinh law economic law,0.0
277196785,1349415248610,- Law Of Lavender - Thiên Nga Quần Hội - Thái Hà Books,law of lavender thien nga quan hoi thai ha books,140000,140000,0,0,,0.0,0,economic law,economic law,1,search,2026-05-27T08:50:26Z,2026-05-27T08:50:26Z,https://tiki.vn/sach-law-of-lavender-thien-nga-quan-hoi-thai-ha-books-p277196785.html?spid=277196786,sach-law-of-lavender-thien-nga-quan-hoi-thai-ha-books-p277196785.html?spid=277196786,law of lavender thien nga quan hoi thai ha books economic law,0.0
275407951,6807965260247,Mô hình One Piece : Mô hình Law cao 24cm,mo hinh one piece mo hinh law cao 24cm,229000,229000,0,0,,0.0,0,economic law,economic law,1,search,2026-05-27T08:50:26Z,2026-05-27T08:50:26Z,https://tiki.vn/mo-hinh-one-piece-mo-hinh-law-cao-24cm-p275407951.html?spid=275407952,mo-hinh-one-piece-mo-hinh-law-cao-24cm-p275407951.html?spid=275407952,mo hinh one piece mo hinh law cao 24cm economic law,0.0
278966036,7789581528919,Luật Nhà ở năm 2023 (Song ngữ Việt - Anh) The 2023 Housing Law (Vietnamses - English),luat nha o nam 2023 song ngu viet anh the 2023 housing law vietnamses english,215000,215000,0,0,1.0,0.0,0,economic law,economic law,1,search,2026-05-27T08:50:26Z,2026-05-27T08:50:26Z,https://tiki.vn/luat-nha-o-nam-2023-song-ngu-viet-anh-the-2023-housing-law-vietnamses-english-p278966036.html?spid=278966037,luat-nha-o-nam-2023-song-ngu-viet-anh-the-2023-housing-law-vietnamses-english-p278966036.html?spid=278966037,luat nha o nam 2023 song ngu viet anh the 2023 housing law vietnamses english economic law,0.6931
278750510,5934505298466,Luật Nhà ở năm 2023 (Song ngữ Việt - Anh) The 2023 Housing Law (Vietnamses - English),luat nha o nam 2023 song ngu viet anh the 2023 housing law vietnamses english,215000,215000,0,0,,0.0,0,economic law,economic law,1,search,2026-05-27T08:50:26Z,2026-05-27T08:50:26Z,https://tiki.vn/luat-nha-o-nam-2023-song-ngu-viet-anh-the-2023-housing-law-vietnamses-english-p278750510.html?spid=278750511,luat-nha-o-nam-2023-song-ngu-viet-anh-the-2023-housing-law-vietnamses-english-p278750510.html?spid=278750511,luat nha o nam 2023 song ngu viet anh the 2023 housing law vietnamses english economic law,0.0
275407256,6745094584261,Mô hình One Piece : Mô hình Law ở wano quốc,mo hinh one piece mo hinh law o wano quoc,185000,185000,0,0,,0.0,0,economic law,economic law,1,search,2026-05-27T08:50:26Z,2026-05-27T08:50:26Z,https://tiki.vn/mo-hinh-one-piece-mo-hinh-law-o-wano-quoc-p275407256.html?spid=275407257,mo-hinh-one-piece-mo-hinh-law-o-wano-quoc-p275407256.html?spid=275407257,mo hinh one piece mo hinh law o wano quoc economic law,0.0
277745026,8213098357029,Luật Nhà ở năm 2023 (Song ngữ Việt - Anh) - The 2023 Housing Law (Vietnamese - English),luat nha o nam 2023 song ngu viet anh the 2023 housing law vietnamese english,215000,215000,0,0,,0.0,0,economic law,economic law,1,search,2026-05-27T08:50:26Z,2026-05-27T08:50:26Z,https://tiki.vn/luat-nha-o-nam-2023-song-ngu-viet-anh-the-2023-housing-law-vietnamese-english-p277745026.html?spid=277880801,luat-nha-o-nam-2023-song-ngu-viet-anh-the-2023-housing-law-vietnamese-english-p277745026.html?spid=277880801,luat nha o nam 2023 song ngu viet anh the 2023 housing law vietnamese english economic law,0.0
271433536,5888750746741,Law Of Lavender - Thiên Nga Quần Hội,law of lavender thien nga quan hoi,140000,140000,0,0,,0.0,0,economic law,economic law,1,search,2026-05-27T08:50:26Z,2026-05-27T08:50:26Z,https://tiki.vn/law-of-lavender-thien-nga-quan-hoi-p271433536.html?spid=274388090,law-of-lavender-thien-nga-quan-hoi-p271433536.html?spid=274388090,law of lavender thien nga quan hoi economic law,0.0
271234533,1680685305847,Law of lavender – Thiên nga quần hội - Bản Quyền,law of lavender thien nga quan hoi ban quyen,140000,140000,0,0,,0.0,0,economic law,economic law,1,search,2026-05-27T08:50:26Z,2026-05-27T08:50:26Z,https://tiki.vn/law-of-lavender-thien-nga-quan-hoi-ban-quyen-p271234533.html?spid=274388087,law-of-lavender-thien-nga-quan-hoi-ban-quyen-p271234533.html?spid=274388087,law of lavender thien nga quan hoi ban quyen economic law,0.0
