resource_id,item_id,resource_type,resource_title,resource_url
REPO_UEH_63535,68,ueh_repository,Phân tích các nhân tố tác động đến hiệu quả chuỗi cung ứng – Nghiên cứu mô hình tại Công ty Cổ phần Acecook Việt Nam,https://digital.lib.ueh.edu.vn/handle/UEH/63535
REPO_UEH_63977,69,ueh_repository,Nghiên cứu các nhân tố ảnh hưởng đến sự phục hồi chuỗi cung ứng nông sản trong và sau đại dịch Covid- 19 tại các tỉnh Đồng bằng sông Cửu Long,https://digital.lib.ueh.edu.vn/handle/UEH/63977
TIKI_190743209,70,tiki_book,Toán tài chính ứng dụng,https://tiki.vn/toan-tai-chinh-ung-dung-p190743209.html?spid=190743210
TIKI_196280121,71,tiki_book,HBR Onpoint 2021: Quản Lý Rủi Ro (Tái Bản 2022),https://tiki.vn/hbr-onpoint-2021-quan-ly-rui-ro-tai-ban-2022-p196280121.html?spid=197410266
TIKI_215746095,72,tiki_book,Ghế nóng - Cẩm nang toàn diện cho CEO khởi nghiệp (Hot Seat: The Startup CEO Guidebook) - Tác giả: Dan Shapiro - Cuốn sách này sẽ giúp bạn ra quyết định,https://tiki.vn/ghe-nong-cam-nang-toan-dien-cho-ceo-khoi-nghiep-hot-seat-the-startup-ceo-guidebook-tac-gia-dan-shapiro-cuon-sach-nay-se-giup-ban-ra-quyet-dinh-p215746095.html?spid=272284830
TIKI_270847837,73,tiki_book,Xác Suất Thống Kê (Dùng cho sinh viên các trường Kỹ Thuật và Công Nghệ),https://tiki.vn/xac-suat-thong-ke-dung-cho-sinh-vien-cac-truong-ky-thuat-va-cong-nghe-tai-ban-lan-thu-tu-nam-2023-p270847837.html?spid=270847838
TIKI_273536991,74,tiki_book,The Finance Book - Tài Chính Doanh Nghiệp-Cuốn Sách Kinh Doanh Hay,https://tiki.vn/the-finance-book-tai-chinh-doanh-nghiep-cuon-sach-kinh-doanh-hay-p273536991.html?spid=273536992
TIKI_276290847,75,tiki_book,Đầu Tư Vào Vàng - Khoản Đầu Tư Tuyệt Đối An Toàn Thiết Yếu Cho Mọi Danh Mục Đầu Tư (Tái Bản 2024),https://tiki.vn/dau-tu-vao-vang-khoan-dau-tu-tuyet-doi-an-toan-thiet-yeu-cho-moi-danh-muc-dau-tu-tai-ban-2024-p276290847.html?spid=276427763
TIKI_277041821,76,tiki_book,Xuất Khẩu Hàng Nông Sản Chủ Lực Của Việt Nam Sang Thị Trường Liên Minh Châu Âu (EU) Đến Năm 2025 (Sách Chuyên Khảo),https://tiki.vn/xuat-khau-hang-nong-san-chu-luc-cua-viet-nam-sang-thi-truong-lien-minh-chau-au-eu-den-nam-2025-sach-chuyen-khao-p277041821.html?spid=277041822
TIKI_278711641,77,tiki_book,Tài Chính Cá Nhân Căn Bản - Personal Finance 101,https://tiki.vn/sach-tai-chinh-ca-nhan-can-ban-personal-finance-101-p278711641.html?spid=278711642
TIKI_279336919,78,tiki_book,- Kỹ Thuật Phân Tích Đầu Tư Chứng Khoán (Tái Bản 2026),https://tiki.vn/sach-ky-thuat-phan-tich-dau-tu-chung-khoan-tai-ban-2026-p279336919.html?spid=279336920
TIKI_279379640,79,tiki_book,Giáo trình kế toán tài chính 2,https://tiki.vn/giao-trinh-ke-toan-tai-chinh-2-p279379640.html?spid=279379641
REPO_UEH_61003,80,ueh_repository,Cơ sở pháp lý cho tổ chức và hoạt động của doanh nghiệp kinh doanh dịch vụ Logistics trong bối cảnh hội nhập quốc tế,https://digital.lib.ueh.edu.vn/handle/UEH/61003
REPO_UEH_61662,81,ueh_repository,Reading list for course International Business Management,https://digital.lib.ueh.edu.vn/handle/UEH/61662
TIKI_273136011,82,tiki_book,Giáo Trình Cao Học - Quản Trị Kinh Doanh Quốc Tế_KT,https://tiki.vn/giao-trinh-cao-hoc-quan-tri-kinh-doanh-quoc-te_kt-p273136011.html?spid=273136012
TIKI_276353637,83,tiki_book,- Giáo Trình Đàm Phán Quốc Tế (Tái Bản lần Thứ Nhất),https://tiki.vn/sach-giao-trinh-dam-phan-quoc-te-tai-ban-lan-thu-nhat-p276353637.html?spid=279339383
REPO_UEH_61090,84,ueh_repository,Nâng cao chất lượng dịch vụ công nghệ thông tin của Trung tâm Phần mềm Viettel 1 - chi nhánh Tập đoàn Công nghiệp - Viễn thông Quân đội,https://digital.lib.ueh.edu.vn/handle/UEH/61090
REPO_UEH_61534,85,ueh_repository,"Nghiên cứu các yếu tố ảnh hưởng đến sự hài lòng của người dân đối với dịch vụ hành chính công tại Uỷ ban nhân dân phường Tân Quy, Quận 7, Thành phố Hồ Chí Minh",https://digital.lib.ueh.edu.vn/handle/UEH/61534
REPO_UEH_62150,86,ueh_repository,Giải pháp nâng cao chất lượng đào tạo tại Trường Đại học Giao thông Vận tải Phân hiệu tại Thành phố Hồ Chí Minh,https://digital.lib.ueh.edu.vn/handle/UEH/62150
REPO_UEH_62589,87,ueh_repository,"Pháp luật về xử phạt vi phạm hành chính về xử lý nước thải-thực tiễn áp dụng đối với các cơ sở sản xuất, kinh doanh tại thị xã La Gi, tỉnh Bình Thuận",https://digital.lib.ueh.edu.vn/handle/UEH/62589
REPO_UEH_62618,88,ueh_repository,Phân tích các nhân tố ảnh hưởng đến ý định mua hàng trực tuyến của người tiêu dùng tại tỉnh Nam Định,https://digital.lib.ueh.edu.vn/handle/UEH/62618
REPO_UEH_62646,89,ueh_repository,Các nhân tố ảnh hưởng đến tính minh bạch của thông tin trên báo cáo tài chính của các công ty niêm yết có vốn đầu tư nước ngoài trên Sàn Giao dịch Chứng khoán TP. HCM,https://digital.lib.ueh.edu.vn/handle/UEH/62646
REPO_UEH_62783,90,ueh_repository,Mối quan hệ giữa các tác nhân trong logistics ngược và kết quả kinh tế: Nghiên cứu trường hợp doanh nghiệp bán lẻ hàng điện tử tại Thành phố Đà Nẵng,https://digital.lib.ueh.edu.vn/handle/UEH/62783
REPO_UEH_62794,91,ueh_repository,Thực hiện tiết kiệm chi kinh phí quản lý hành chính tại Sở Tài chính tỉnh Bà Rịa - Vũng Tàu,https://digital.lib.ueh.edu.vn/handle/UEH/62794
REPO_UEH_63321,92,ueh_repository,Nghiên cứu sự ảnh hưởng của các áp lực công việc đối với hành vi bán hàng phi đạo đức trường hợp ngành bảo hiểm nhân thọ tại Việt Nam,https://digital.lib.ueh.edu.vn/handle/UEH/63321
REPO_UEH_63482,93,ueh_repository,Giải pháp hoàn thiện hoạt động quản lý kho hàng tại công ty TNHH Olam Việt Nam,https://digital.lib.ueh.edu.vn/handle/UEH/63482
REPO_UEH_63818,94,ueh_repository,Risks and supply chain performance: globalization and COVID-19 perspectives,https://digital.lib.ueh.edu.vn/handle/UEH/63818
TIKI_168780451,95,tiki_book,"Thị Trường, Nhà Nước Và Người Dân: Kinh Tế Học Về Chính Sách Công",https://tiki.vn/thi-truong-nha-nuoc-va-nguoi-dan-kinh-te-hoc-ve-chinh-sach-cong-p168780451.html?spid=168780452
TIKI_187311134,96,tiki_book,"Tài Liệu Hướng Dẫn Tổ Chức Các Cuộc Họp, Quản Lý Hội Nghị, Hội Thảo Và Chế Độ Họp Trong Hoạt Động Quản Lý, Điều Hành Của Cơ Quan Hành Chính, Doanh Nghiệp",https://tiki.vn/tai-lieu-huong-dan-to-chuc-cac-cuoc-hop-quan-ly-hoi-nghi-hoi-thao-va-che-do-hop-trong-hoat-dong-quan-ly-dieu-hanh-cua-co-quan-hanh-chinh-doanh-nghiep-p187311134.html?spid=214748804
TIKI_276849016,97,tiki_book,- Thuật Đàm Phán - Negotiation (Tái Bản 2024),https://tiki.vn/sach-thuat-dam-phan-negotiation-tai-ban-2024-p276849016.html?spid=276849017
TIKI_277165601,98,tiki_book,CFO Quản Trị Tài Chính Công Ty Cổ Phần,https://tiki.vn/cfo-quan-tri-tai-chinh-cong-ty-co-phan-p277165601.html?spid=277165602
TIKI_277922533,99,tiki_book,Quản Lý Vận Hành Nhà Hàng,https://tiki.vn/quan-ly-van-hanh-nha-hang-p277922533.html?spid=277922534
TIKI_279112554,100,tiki_book,- Right to Win For Vietnamese Agriculture - AgriS And Betrimex’s Path To Success In The Global Supply Chain,https://tiki.vn/sach-right-to-win-for-vietnamese-agriculture-agris-and-betrimex-s-path-to-success-in-the-global-supply-chain-p279112554.html?spid=279112555
TIKI_279297816,101,tiki_book,"Tra Cứu Mức Xử Phạt Vi Phạm Hành Chính Về Thuế, Hóa Đơn – Quy Định Mới Về Luật Quản Lý Thuế (V2675T)",https://tiki.vn/sach-tra-cuu-muc-xu-phat-vi-pham-hanh-chinh-ve-thue-hoa-don-quy-dinh-moi-ve-luat-quan-ly-thue-v2675t-p279297816.html?spid=279297817
REPO_UEH_61233,102,ueh_repository,"Đánh giá tác động của sự hiện diện xã hội, sự hiện diện giảng dạy và sự hiện diện nhận thức đến sự hài lòng của học viên trong học tập trực tuyến tại Thành phố Hồ Chí Minh",https://digital.lib.ueh.edu.vn/handle/UEH/61233
REPO_UEH_61235,103,ueh_repository,Giải pháp nâng cao chất lượng thẩm định tín dụng khách hàng cá nhân tại Ngân hàng Thương mại Cổ phần Tiên Phong - Khu vực phía Nam,https://digital.lib.ueh.edu.vn/handle/UEH/61235
REPO_UEH_61273,104,ueh_repository,"Ảnh hưởng của lòng tin, công bằng tương tác, quyền sở hữu tâm lý và vai trò trung gian của gắn kết cảm xúc đến hành vi chia sẻ tri thức trong các công ty tự động hóa tại Thành phố Hồ Chí Minh",https://digital.lib.ueh.edu.vn/handle/UEH/61273
